Abundance_Controls,frac_aa_A,frac_aa_F,frac_aa_K,frac_aa_N,molecular_weight,gravy,fraction_exposed_polar_total,rsa_std,fraction_exposed_exposed_C,fraction_exposed_exposed_E,fraction_exposed_exposed_F,nsp_secondary_structure_coil,nsp_secondary_structure_sheet,Zeta Potential,Dh_functionalized,NP_incubation Concentration (mg/mL),Incubation Concentration (mg/ml),Abundance,NPUNID,Entry
3.97818750745931e-05,0.06637168141592921,0.07964601769911504,0.06194690265486726,0.03097345132743363,25257.59620000003,0.4482300884955748,0.8053097345132744,0.215,0.02564102564102564,0.09401709401709402,0.05128205128205128,0.221,0.0,39,282,5.0,40,0.014845241024847,27,P30932
3.97818750745931e-05,0.08130081300813008,0.04065040650406504,0.07723577235772358,0.02032520325203252,27399.15160000003,-0.1776422764227644,0.8658536585365854,0.24,0.007874015748031496,0.1259842519685039,0.03149606299212598,0.37,0.272,-42,149,5.0,4,0.0014407162645575,19,Q2YDE4
0.000196820051576531,0.09652509652509653,0.003861003861003861,0.03088803088803089,0.01544401544401544,27877.77310000001,-0.05521235521235516,0.749034749034749,0.264,0.006802721088435374,0.06122448979591837,0.0,0.622,0.297,-11,316,5.0,40,0.0169636381902557,23,Q3T0A3
0.0226676301544914,0.04328018223234624,0.05922551252847381,0.06605922551252848,0.05694760820045558,51113.35570000009,-0.6234624145785869,0.7220956719817767,0.168,0.0,0.09782608695652174,0.05706521739130434,0.574,0.046,-12,271,5.0,4,0.2041246535370111,24,P17697
3.97818750745931e-05,0.08866995073891626,0.02955665024630542,0.04187192118226601,0.02216748768472906,45885.63430000004,-0.4790640394088672,0.729064039408867,0.246,0.01115241635687732,0.1115241635687732,0.003717472118959108,0.49,0.313,-49,229,5.0,4,0.0048192087283894,20,Q0VCP3
0.00267865526270584,0.05194805194805195,0.04112554112554113,0.06926406926406926,0.05411255411255411,52045.2398,-0.4320346320346324,0.7857142857142857,0.24,0.01027397260273973,0.1335616438356164,0.03082191780821918,0.634,0.232,12,229,5.0,40,0.097665943258145,33,P00741
0.00493105693774987,0.05098855359001041,0.03850156087408949,0.03329864724245578,0.06139438085327784,105973.3503000006,-0.5217481789802282,0.7513007284079084,0.222,0.01721170395869191,0.05335628227194492,0.02409638554216868,0.678,0.242,29,288,5.0,40,0.00380474398993,29,Q3SWW8
0.00511644371378327,0.11,0.05,0.07,0.05,10842.56439999999,-0.132,0.58,0.219,0.03703703703703703,0.04938271604938271,0.01234567901234568,0.74,0.16,-49,218,5.0,40,0.071180028411919,26,P04815
0.000225748426689214,0.06751054852320675,0.008438818565400843,0.02109704641350211,0.02531645569620253,24966.70209999998,-0.7805907172995784,0.6118143459915611,0.2,0.03414634146341464,0.06829268292682927,0.004878048780487805,0.831,0.076,-12,271,5.0,40,0.0578145950514331,25,Q05718
16.5585417852635,0.09749303621169916,0.03342618384401114,0.04178272980501393,0.01949860724233983,38418.33300000009,-0.02451253481894147,0.5933147632311978,0.211,0.006993006993006993,0.05944055944055944,0.03146853146853147,0.624,0.256,12,291,5.0,40,13.23038357261404,32,P12763
0.00692856619376968,0.0868421052631579,0.02631578947368421,0.07368421052631578,0.03421052631578948,43017.17610000006,-0.6071052631578941,0.6763157894736842,0.151,0.0,0.1227544910179641,0.02395209580838323,0.258,0.0,-11,316,5.0,40,0.0013756663485033,23,Q32PJ2
3.97818750745931e-05,0.06616541353383458,0.03909774436090226,0.05263157894736842,0.02105263157894737,75781.66400000031,-0.3903759398496237,0.7654135338345864,0.234,0.0,0.107728337236534,0.01639344262295082,0.568,0.192,-49,218,5.0,40,0.2937559340567536,26,Q32LP0
0.00202317556240255,0.0505050505050505,0.06565656565656566,0.04040404040404041,0.04292929292929293,44470.05660000005,-0.7878787878787866,0.6388888888888888,0.195,0.008982035928143712,0.05389221556886228,0.04790419161676647,0.755,0.177,-3,609,5.0,40,0.0033704113464023,31,P33433
41.3441763917609,0.07907742998352553,0.04942339373970346,0.09884678747940692,0.02306425041186162,69292.68350000019,-0.4289950576606252,0.85667215815486,0.223,0.002958579881656805,0.1597633136094675,0.01183431952662722,0.285,0.005,29,288,5.0,40,43.50154157532369,29,P02769
0.0243379143542086,0.05502392344497608,0.05023923444976076,0.06937799043062201,0.04545454545454546,46963.37470000004,-0.1643540669856462,0.84688995215311,0.256,0.008658008658008658,0.1125541125541126,0.0,0.443,0.299,-49,218,5.0,40,0.0093947249025271,26,A6QPQ2
0.000217533105525803,0.05911330049261083,0.04926108374384237,0.02463054187192118,0.04433497536945813,23133.8834,-0.4911330049261084,0.6551724137931034,0.195,0.005780346820809248,0.07514450867052024,0.04624277456647399,0.67,0.232,-63,221,4.0,4,0.0278793870950821,17,Q27967
3.97818750745931e-05,0.04807692307692308,0.04807692307692308,0.0673076923076923,0.03365384615384615,23461.4171,-0.3846153846153846,0.8413461538461539,0.28,0.01626016260162602,0.1056910569105691,0.01626016260162602,0.5,0.197,-63,221,4.0,4,0.0011764000941379,17,A6QR46
3.97818750745931e-05,0.05921052631578947,0.04473684210526316,0.06315789473684211,0.04736842105263158,87732.57910000053,-0.3246052631578948,0.8565789473684211,0.236,0.00546448087431694,0.08469945355191257,0.02185792349726776,0.507,0.334,-42,151,5.0,40,0.0113856499686955,28,A5D7B7
0.0526721153550325,0.09439124487004104,0.04377564979480164,0.0560875512995896,0.03283173734610123,80729.70060000046,-0.4454172366621059,0.7879616963064295,0.237,0.0,0.09595959595959595,0.0101010101010101,0.469,0.272,-42,149,5.0,4,2.642867533629106,19,Q3SX14
0.00900492053107607,0.09774436090225563,0.01640464798359535,0.03896103896103896,0.01982228298017772,138936.8465000008,-0.7985645933014373,0.4764183185235817,0.211,0.005756578947368421,0.0625,0.01398026315789474,0.916,0.066,-12,271,5.0,4,0.2899066988414821,24,P02453
3.97818750745931e-05,0.09162303664921466,0.02356020942408377,0.03141361256544502,0.03664921465968586,42020.29000000004,-0.1753926701570683,0.6701570680628273,0.23,0.025,0.1107142857142857,0.007142857142857143,0.479,0.23,39,282,5.0,40,0.1302659326396835,27,Q0VCG9
3.97818750745931e-05,0.07383966244725738,0.02953586497890295,0.06118143459915612,0.03375527426160337,54981.80750000016,-1.00675105485232,0.6919831223628692,0.176,0.0,0.1513647642679901,0.01240694789081886,0.553,0.004,29,288,5.0,40,0.0093715223381308,29,Q0P569
3.97818750745931e-05,0.101123595505618,0.02621722846441948,0.07116104868913857,0.0299625468164794,28332.86620000001,-0.3790262172284647,0.5955056179775281,0.244,0.01913875598086124,0.07655502392344497,0.009569377990430622,0.674,0.139,39,282,5.0,4,0.0139226160245225,22,Q17QH6
