Intensity 31_200_PS Carb_10	Intensity 32_200_PS Carb_100	Intensity 33_small_Citrate_10	Intensity 34_large_Citrate_10	Intensity 35_small_PEI_10	Intensity 36_large_PEI_10	Intensity 37_large_PVP@AU_100	Intensity 38_small_PVP@AU_10	Intensity 39_small_PVP@AU_100	Intensity 40_large_Citrate_100	Intensity 41_large_PEI_100	Intensity 42_small_Citrate_100	Intensity 43_small_PEI_100	Intensity 44_large_PVP@AU_10	Intensity 45_large_PEG@Au_100	Intensity 46_large_PEI@Au_100	Intensity 47_small_PEI@Au_100	Intensity 48_200_PS Carb@ PEG_100	Intensity 49_200_PS Carb@ PEG_100	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	iBAQ 31_200_PS Carb_10	iBAQ 32_200_PS Carb_100	iBAQ 33_small_Citrate_10	iBAQ 34_large_Citrate_10	iBAQ 35_small_PEI_10	iBAQ 36_large_PEI_10	iBAQ 37_large_PVP@AU_100	iBAQ 38_small_PVP@AU_10	iBAQ 39_small_PVP@AU_100	iBAQ 40_large_Citrate_100	iBAQ 41_large_PEI_100	iBAQ 42_small_Citrate_100	iBAQ 43_small_PEI_100	iBAQ 44_large_PVP@AU_10	iBAQ 45_large_PEG@Au_100	iBAQ 46_large_PEI@Au_100	iBAQ 47_small_PEI@Au_100	iBAQ 48_200_PS Carb@ PEG_100	iBAQ 49_200_PS Carb@ PEG_100	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Species	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	T
0	0	0	1451400	0	0	0	0	0	11550000	0	0	0	0	0	0	0	0	3092200	0	0	0	0	0	0	0	20158	0	0	0	0	0	160410	0	0	0	0	0	0	0	0	42947	0	0	0	0	0	0	0	16093000	0	0	0	0	0	13834000	0	0	0	0	0	0	0	0	3398700	0	0	0	0	Bos taurus				9913	A0A3Q1LIB4;F1N789
0	0	0	0	453520000	544520000	0	0	0	0	2830700032	7142600	1140600064	0	5526100	61850000	1224000000	0	0	0	106240000	198540000	102680000	0	0	0	0	2938000	2302200	0	0	0	0	22706000	230410	9057100	0	178260	110730	7599000	0	0	0	347580	313810	386760	0	0	0	0	219100000	219070000	0	0	0	0	830190016	0	438630016	0	12165000	24209000	466169984	0	0	0	68571000	104050000	60279000	Bos taurus				9913	A0AAA9SX22;A0A3Q1LIS3;Q3SYW7
0	0	35717000	24896000	56325000	71298000	0	0	0	0	109700000	10249000	24218000	0	1872600	0	0	1510700	1329000	0	9773400	0	0	0	0	274050	119850	407830	371060	0	0	0	0	489620	56959	165890	0	18726	0	0	15107	13290	0	97734	0	0	0	0	30350000	20163000	20402000	24371000	0	0	0	0	48541000	11363000	19994000	0	4673700	0	0	0	0	0	15520000	0	0	Bos taurus				9913	A0A3Q1LIW2;A0A3Q1LLF1;A0A3Q1LU83;A0A3Q1LKE5;A0A3Q1M1X4;F1MRZ6;A0JN60;A0A3Q1LTF1;F1MRZ5;A0A3Q1MPD2;A0A3Q1NBB0
0	0	0	0	0	0	0	0	0	0	2761100	0	0	0	0	0	12930000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44534	0	0	0	0	0	208550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7254500	0	0	0	0	0	10283000	0	0	0	0	0	0	Bos taurus				9913	F1MIC9;A5PKJ3;A0A3Q1LQT4;A0A3Q1M3Y3;A0A3Q1LJA4
0	0	0	0	4108500	4995800	0	0	0	0	3786000	0	0	0	0	0	31647000	0	0	0	0	0	0	0	0	0	0	87416	106290	0	0	0	0	80554	0	0	0	0	0	612010	0	0	0	0	0	0	0	0	0	0	13968000	16985000	0	0	0	0	0	0	0	0	0	0	31647000	0	0	0	0	0	0	Bos taurus				9913	A0A3Q1MQY7;A0A3Q1LJK4;E1BEB4
0	0	0	0	3463800	7413000	0	0	0	0	59547000	0	8311000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346380	282540	0	0	0	0	1736800	0	831100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8531000	7413000	0	0	0	0	59547000	0	20469000	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	A0A3Q1LJT1
0	0	0	0	0	0	2111100	0	0	0	0	0	0	0	15509000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39094	0	0	0	0	0	0	0	135610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9036100	0	0	0	0	0	0	0	13354000	0	0	0	0	0	0	0	0	Bos taurus				9913	G3N2K4;A0AAA9S981;A0AAA9S8E3;A0A3Q1LL67;E1BDY3;A0A3Q1LJT3;A0AAA9SE43
2335000064	145680000	26407000064	25717000192	69209997312	86287998976	3740300032	1509200000	2970599936	4480999936	54781001728	6336600064	34900000768	1128000000	1506800000	14784000000	159319998464	1160000000	284990016	4356700160	20758999040	20803999744	21675999232	19343000	946670	251830000	250980000	594120000	765299968	27539000	14278000	24968000	42507000	555480000	62856000	300420000	9815000	11158000	149620000	1563699968	3014500	1513500	41440000	176100000	191790000	207080000	446940000	28701000	4848999936	4258099968	11390000128	13795999744	696289984	295480000	729169984	1062000000	6227899904	1237500032	6393699840	271270016	314969984	2332100096	30797000704	285620000	49230000	822440000	2428600064	2888100096	4064499968	Bos taurus				9913	A0A3Q1LK49;A5D7R6;A0AAA9SEZ9;A0AAA9RW75;A0AAF6DM63
0	0	0	0	0	0	45941000	0	90816000	31163000	0	7480400	5908600	0	45450000	0	0	0	0	0	13779000	4464500	0	0	0	0	0	0	0	328270	0	1460100	399550	0	226680	179050	0	784150	0	0	0	0	0	127750	135290	0	0	0	0	0	0	0	40289000	0	61508000	36394000	0	14093000	18153000	0	23821000	0	0	0	0	0	16092000	8411200	0	Bos taurus				9913	Q9N179;A0AAA9S538;F1MCU4;A0A3Q1LK99;A0AAA9TS98;A0AAA9RZM8;A0A3Q1LQM4;A0A3Q1LTG0;A0A3Q1LH48;A0A3Q1LYH7
0	0	0	0	0	0	7322000	0	23724000	5316300	0	0	0	0	5318800	0	0	16012000	3217300	0	0	0	0	0	0	0	0	0	0	252480	0	240570	183320	0	0	0	0	90549	0	0	335490	110940	0	0	0	0	0	0	0	0	0	0	14016000	0	21158000	15455000	0	0	0	0	6139100	0	0	6342600	4383900	0	0	0	0	Bos taurus				9913	P00432;A0A3Q1LKF1;A0A3Q1MQP3;A0AAA9S491
