Intensity 31_200_PS Carb_10	Intensity 32_200_PS Carb_100	Intensity 33_small_Citrate_10	Intensity 34_large_Citrate_10	Intensity 35_small_PEI_10	Intensity 36_large_PEI_10	Intensity 37_large_PVP@AU_100	Intensity 38_small_PVP@AU_10	Intensity 39_small_PVP@AU_100	Intensity 40_large_Citrate_100	Intensity 41_large_PEI_100	Intensity 42_small_Citrate_100	Intensity 43_small_PEI_100	Intensity 44_large_PVP@AU_10	Intensity 45_large_PEG@Au_100	Intensity 46_large_PEI@Au_100	Intensity 47_small_PEI@Au_100	Intensity 48_200_PS Carb@ PEG_100	Intensity 49_200_PS Carb@ PEG_100	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	iBAQ 31_200_PS Carb_10	iBAQ 32_200_PS Carb_100	iBAQ 33_small_Citrate_10	iBAQ 34_large_Citrate_10	iBAQ 35_small_PEI_10	iBAQ 36_large_PEI_10	iBAQ 37_large_PVP@AU_100	iBAQ 38_small_PVP@AU_10	iBAQ 39_small_PVP@AU_100	iBAQ 40_large_Citrate_100	iBAQ 41_large_PEI_100	iBAQ 42_small_Citrate_100	iBAQ 43_small_PEI_100	iBAQ 44_large_PVP@AU_10	iBAQ 45_large_PEG@Au_100	iBAQ 46_large_PEI@Au_100	iBAQ 47_small_PEI@Au_100	iBAQ 48_200_PS Carb@ PEG_100	iBAQ 49_200_PS Carb@ PEG_100	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Species	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	T
5195600	0	11038000	8879700	5327800	7106000	0	0	0	0	11578000	0	11951000	0	0	0	11284000	2721300	4163000	0	0	0	0	399660	0	849100	683050	409830	546610	0	0	0	0	890630	0	919300	0	0	0	867990	209330	320230	0	0	0	0	5195600	0	11038000	8879700	5327800	7106000	0	0	0	0	11578000	0	11951000	0	0	0	11284000	2721300	4163000	0	0	0	0	Bos taurus				9913	A6QR46
0	0	8032400	0	1870000000	1700300032	15143000	0	8869900	10319000	326360000	0	337960000	3581400	0	5996400	167140000	0	0	23002000	261240000	274369984	236820000	0	0	365110	0	49442000	42298000	279890	0	403180	469050	8668400	0	8243300	162790	0	115180	3974800	0	0	1045600	6154500	7344800	5648500	0	0	26622000	0	760659968	777249984	17972000	0	16399000	19078000	162740000	0	198640000	6621500	0	4689500	96725000	0	0	35387000	143470000	135300000	148940000	Bos taurus				9913	A7E3W2
0	0	0	0	0	0	0	0	0	0	0	4837200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4837200	0	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	A7MB62
0	0	0	0	0	0	0	0	0	0	79102000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55067000	0	0	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	A7MBJ5
0	0	0	0	0	0	0	0	0	0	41990000	0	0	0	0	0	6011600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024100	0	0	0	0	0	146630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41990000	0	0	0	0	0	7725100	0	0	0	0	0	0	Bos taurus				9913	C0HLN2
2637100	0	0	0	0	0	4304500	0	0	0	14717000	0	18291000	0	4299200	0	0	0	0	49074000	7882100	7162600	0	125580	0	0	0	0	0	204970	0	0	0	700820	0	870980	0	204720	0	0	0	0	2336800	375340	341080	0	0	0	0	0	0	0	0	0	0	0	19979000	0	16333000	0	6547900	0	0	0	0	42139000	13307000	12092000	0	Bos taurus				9913	E1BF81
2532000	1198400	0	3234700	0	0	2248500	0	18118000	15340000	0	5876400	0	0	0	0	0	0	0	0	3984900	3513700	3974700	120570	57068	0	154030	0	0	107070	0	255090	730490	0	279830	0	0	0	0	0	0	0	0	189760	167320	189270	3572100	1690700	0	4563400	0	0	3172100	0	19662000	19482000	0	8290200	0	0	0	0	0	0	0	0	5621800	4957000	5607300	Bos taurus				9913	F1N152
23676000	1412500	21168000	49446000	48229000	63223000	191550000	1660900	156350000	217280000	330969984	58292000	246660000	15955000	55168000	2774800	21684000	0	0	545470016	110250000	128600000	107620000	350000	42802	218300	684300	789490	506440	1907600	50330	1974600	2770400	4469900	799410	3340600	226890	528630	26609	225460	0	0	7425800	1718600	1614200	1204100	23676000	2755600	23723000	32470000	40595000	39516000	86423000	0	86405000	114340000	134870000	46156000	116270000	14276000	37412000	3346300	21807000	0	0	191960000	62798000	75778000	61697000	Bos taurus				9913	G3MYZ3
0	0	0	0	0	0	0	0	2965900	0	19039000	0	0	0	4845000	0	3671100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109850	0	230420	0	0	0	56527	0	135970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7530600	0	22010000	0	0	0	3875200	0	27203000	0	0	0	0	0	0	Bos taurus				9913	G3X745
0	0	8159000	30680000	0	6385700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6786200	5084700	0	0	627620	2360000	0	491210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522010	391130	0	0	12276000	30680000	0	9607900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10210000	7650400	Bos taurus				9913	O02659
